distancia,reflexao
1.798754,52.225
1.803835,52.22
1.808916,52.222
1.813998,52.222
1.819079,52.222
1.82416,52.219
1.829241,52.212
1.834323,52.215
1.839404,52.213
1.844485,52.212
1.849566,52.213
1.854648,52.205
1.859729,52.205
1.86481,52.204
1.869891,52.2
1.874972,52.204
1.880054,52.201
1.885135,52.203
1.890216,52.204
1.895297,52.204
1.900379,52.202
1.90546,52.192
1.910541,52.192
1.915622,52.19
1.920703,52.184
1.925785,52.184
1.930866,52.191
1.935947,52.184
1.941028,52.183
1.94611,52.175
1.951191,52.172
1.956272,52.174
1.961353,52.172
1.966434,52.168
1.971516,52.165
1.976597,52.171
1.981678,52.17
1.986759,52.16
1.991841,52.163
1.996922,52.149
2.002003,52.148
2.007084,52.143
2.012166,52.142
2.017247,52.141
2.022328,52.138
2.027409,52.14
2.03249,52.145
2.037572,52.878
2.042653,56.512
2.047734,57.045
2.052815,56.987
2.057897,56.913
2.062978,56.835
2.068059,56.747
2.07314,56.728
2.078221,56.733
2.083303,56.756
2.088384,56.786
2.093465,56.795
2.098546,56.792
2.103628,56.772
2.108709,56.75
2.11379,56.731
2.118871,56.71
2.123952,56.69
2.129034,56.672
2.134115,56.657
2.139196,56.562
2.144277,54.788
2.149359,52.77
2.15444,51.936
2.159521,51.694
2.164602,51.641
2.169684,51.611
2.174765,51.589
2.179846,51.583
2.184927,51.58
2.190008,51.574
2.19509,51.572
2.200171,51.566
2.205252,51.568
2.210333,51.564
2.215415,51.563
2.220496,51.555
2.225577,51.548
2.230658,51.543
2.235739,51.541
2.240821,51.546
2.245902,51.527
2.250983,51.54
2.256064,51.536
2.261146,51.541
2.266227,51.534
2.271308,51.529
2.276389,51.526
2.281471,51.526
2.286552,51.528
2.291633,51.52
2.296714,51.518
2.301795,51.517
2.306877,51.513
2.311958,51.51
2.317039,51.505
2.32212,51.504
2.327202,51.496
2.332283,51.495
2.337364,51.493
2.342445,51.494
2.347526,51.488
2.352608,51.487
2.357689,51.482
2.36277,51.484
2.367851,51.486
2.372933,51.477
2.378014,51.476
2.383095,51.472
2.388176,51.469
2.393257,51.469
2.398339,51.462
2.40342,51.454
2.408501,51.465
2.413582,51.461
2.418664,51.456
2.423745,51.459
2.428826,51.456
2.433907,51.446
2.438989,51.444
2.44407,51.45
2.449151,51.451
2.454232,51.449
2.459313,51.45
2.464395,51.442
2.469476,51.444
2.474557,51.45
2.479638,51.446
2.48472,51.438
2.489801,51.444
2.494882,51.44
2.499963,51.442
2.505044,51.441
2.510126,51.44
2.515207,51.432
2.520288,51.43
2.525369,51.43
2.530451,51.421
2.535532,51.427
2.540613,51.419
2.545694,51.418
2.550775,51.415
2.555857,51.417
2.560938,51.416
2.566019,51.413
2.5711,51.411
2.576182,51.404
2.581263,51.409
2.586344,51.412
2.591425,51.407
2.596507,51.403
2.601588,51.401
2.606669,51.403
2.61175,51.399
2.616831,51.392
2.621913,51.397
2.626994,51.391
2.632075,51.394
2.637156,51.389
2.642238,51.388
2.647319,51.387
2.6524,51.384
2.657481,51.387
2.662562,51.388
2.667644,51.387
2.672725,51.382
2.677806,51.367
2.682887,51.379
2.687969,51.373
2.69305,51.374
2.698131,51.366
2.703212,51.372
2.708293,51.375
2.713375,51.357
2.718456,51.362
2.723537,51.361
2.728618,51.369
2.7337,51.351
2.738781,51.352
2.743862,51.354
2.748943,51.361
2.754025,51.346
2.759106,51.346
2.764187,51.349
