distancia,reflexao
0.0,38.48
0.005095,42.646
0.010189,44.648
0.015284,45.973
0.020379,46.911
0.025473,47.513
0.030568,47.943
0.035663,48.268
0.040758,48.525
0.045852,48.735
0.050947,48.909
0.056042,49.055
0.061136,49.179
0.066231,49.285
0.071326,49.376
0.07642,49.454
0.081515,49.522
0.08661,49.581
0.091705,49.633
0.096799,49.679
0.101894,49.706
0.106989,49.676
0.112083,49.59
0.117178,49.447
0.122273,49.256
0.127367,49.065
0.132462,48.879
0.137557,48.697
0.142652,48.518
0.147746,48.343
0.152841,48.172
0.157936,48.005
0.16303,47.84
0.168125,47.68
0.17322,47.523
0.178314,47.371
0.183409,47.223
0.188504,47.079
0.193598,46.938
0.198693,46.801
0.203788,46.668
0.208883,46.54
0.213977,46.416
0.219072,46.297
0.224167,46.184
0.229261,46.076
0.234356,45.974
0.239451,45.876
0.244545,45.784
0.24964,45.695
0.254735,45.611
0.25983,45.531
0.264924,45.456
0.270019,45.385
0.275114,45.319
0.280208,45.257
0.285303,45.199
0.290398,45.145
0.295492,45.094
0.300587,45.047
0.305682,45.004
0.310777,44.963
0.315871,44.925
0.320966,44.889
0.326061,44.856
0.331155,44.825
0.33625,44.798
0.341345,44.771
0.346439,44.747
0.351534,44.724
0.356629,44.703
0.361723,44.684
0.366818,44.666
0.371913,44.65
0.377008,44.634
0.382102,44.621
0.387197,44.607
0.392292,44.594
0.397386,44.582
0.402481,44.571
0.407576,44.562
0.41267,44.555
0.417765,44.548
0.42286,44.54
0.427955,44.531
0.433049,44.525
0.438144,44.519
0.443239,44.514
0.448333,44.51
0.453428,44.506
0.458523,44.502
0.463617,44.497
0.468712,44.492
0.473807,44.487
0.478901,44.483
0.483996,44.478
0.489091,44.474
0.494186,44.47
0.49928,44.466
0.504375,44.463
0.50947,44.461
0.514564,44.458
0.519659,44.456
0.524754,44.453
0.529848,44.451
0.534943,44.448
0.540038,44.446
0.545133,44.444
0.550227,44.443
0.555322,44.442
0.560417,44.44
0.565511,44.437
0.570606,44.435
0.575701,44.431
0.580795,44.429
0.58589,44.428
0.590985,44.426
0.59608,44.425
0.601174,44.423
0.606269,44.421
0.611364,44.419
0.616458,44.418
0.621553,44.416
0.626648,44.413
0.631742,44.411
0.636837,44.409
0.641932,44.407
0.647026,44.406
0.652121,44.405
0.657216,44.404
0.662311,44.403
0.667405,44.401
0.6725,44.398
0.677595,44.396
0.682689,44.395
0.687784,44.393
0.692879,44.391
0.697973,44.389
0.703068,44.386
0.708163,44.384
0.713258,44.382
0.718352,44.379
0.723447,44.377
0.728542,44.375
0.733636,44.373
0.738731,44.371
0.743826,44.369
0.74892,44.367
0.754015,44.364
0.75911,44.362
0.764205,44.36
0.769299,44.359
0.774394,44.357
0.779489,44.355
0.784583,44.353
0.789678,44.351
0.794773,44.349
0.799867,44.347
0.804962,44.346
0.810057,44.343
0.815151,44.342
0.820246,44.341
0.825341,44.339
0.830436,44.337
0.83553,44.335
0.840625,44.333
0.84572,44.333
0.850814,44.332
0.855909,44.33
0.861004,44.328
0.866098,44.325
0.871193,44.323
0.876288,44.321
0.881383,44.319
0.886477,44.317
0.891572,44.316
0.896667,44.315
0.901761,44.314
0.906856,44.313
0.911951,44.312
0.917045,44.311
0.92214,44.309
0.927235,44.308
0.93233,44.307
0.937424,44.306
0.942519,44.305
0.947614,44.303
0.952708,44.301
0.957803,44.299
0.962898,44.297
0.967992,44.296
0.973087,44.294
0.978182,44.293
0.983276,44.292
0.988371,44.291
0.993466,44.29
0.998561,44.288
1.003655,44.287
1.00875,44.284
1.013845,44.282
1.018939,44.28
1.024034,44.277
1.029129,44.275
1.034223,44.272
1.039318,44.269
1.044413,44.266
1.049508,44.264
1.054602,44.262
1.059697,44.261
1.064792,44.26
1.069886,44.258
1.074981,44.258
1.080076,44.256
1.08517,44.255
1.090265,44.253
1.09536,44.252
1.100455,44.251
1.105549,44.25
1.110644,44.248
1.115739,44.247
1.120833,44.245
1.125928,44.243
1.131023,44.243
1.136117,44.242
1.141212,44.24
1.146307,44.239
1.151401,44.238
1.156496,44.236
1.161591,44.234
1.166686,44.233
1.17178,44.231
1.176875,44.228
1.18197,44.226
1.187064,44.224
1.192159,44.222
1.197254,44.221
1.202348,44.219
1.207443,44.218
1.212538,44.217
1.217633,44.215
1.222727,44.213
1.227822,44.211
1.232917,44.209
1.238011,44.207
1.243106,44.204
1.248201,44.201
1.253295,44.198
1.25839,44.197
1.263485,44.196
1.26858,44.194
1.273674,44.192
1.278769,44.189
1.283864,44.187
1.288958,44.185
1.294053,44.183
1.299148,44.181
1.304242,44.178
1.309337,44.176
1.314432,44.174
1.319526,44.173
1.324621,44.171
1.329716,44.169
1.334811,44.167
1.339905,44.166
1.345,44.165
1.350095,44.164
1.355189,44.161
1.360284,44.158
1.365379,44.156
1.370473,44.153
1.375568,44.151
1.380663,44.149
1.385758,44.146
1.390852,44.144
1.395947,44.143
1.401042,44.141
1.406136,44.139
1.411231,44.138
1.416326,44.137
1.42142,44.136
1.426515,44.134
1.43161,44.133
1.436704,44.131
1.441799,44.129
1.446894,44.127
1.451989,44.124
1.457083,44.122
1.462178,44.121
1.467273,44.12
1.472367,44.118
1.477462,44.117
1.482557,44.116
1.487651,44.115
1.492746,44.115
1.497841,44.115
1.502936,44.114
1.50803,44.112
1.513125,44.11
1.51822,44.108
1.523314,44.106
1.528409,44.104
1.533504,44.102
1.538598,44.1
1.543693,44.098
1.548788,44.095
1.553883,44.093
1.558977,44.091
1.564072,44.089
1.569167,44.087
1.574261,44.086
1.579356,44.084
1.584451,44.082
1.589545,44.08
1.59464,44.079
1.599735,44.078
1.604829,44.076
1.609924,44.074
1.615019,44.072
1.620114,44.07
1.625208,44.069
1.630303,44.068
1.635398,44.067
1.640492,44.066
1.645587,44.064
1.650682,44.062
1.655776,44.06
1.660871,44.058
1.665966,44.058
1.671061,44.057
1.676155,44.057
1.68125,44.055
1.686345,44.053
1.691439,44.051
1.696534,44.049
1.701629,44.047
1.706723,44.046
1.711818,44.044
1.716913,44.042
1.722008,44.04
1.727102,44.037
1.732197,44.036
1.737292,44.033
1.742386,44.03
1.747481,44.028
1.752576,44.026
1.75767,44.024
1.762765,44.022
1.76786,44.02
1.772954,44.019
1.778049,44.019
1.783144,44.017
1.788239,44.016
1.793333,44.013
1.798428,44.012
1.803523,44.01
1.808617,44.009
1.813712,44.008
1.818807,44.007
1.823901,44.006
1.828996,44.004
1.834091,44.003
1.839186,44.001
1.84428,44.0
1.849375,43.997
1.85447,43.993
1.859564,43.991
1.864659,43.987
1.869754,43.986
1.874848,43.984
1.879943,43.983
1.885038,43.981
1.890133,43.979
1.895227,43.977
1.900322,43.973
1.905417,43.971
1.910511,43.969
1.915606,43.966
1.920701,43.964
1.925795,43.962
1.93089,43.959
1.935985,43.958
1.941079,43.956
1.946174,43.953
1.951269,43.951
1.956364,43.949
1.961458,43.947
1.966553,43.946
1.971648,43.945
1.976742,43.944
1.981837,43.944
1.986932,43.943
1.992026,43.943
1.997121,43.942
2.002216,43.941
2.007311,43.939
2.012405,43.937
2.0175,43.936
2.022595,43.934
2.027689,43.933
2.032784,43.932
2.037879,43.93
2.042973,43.929
2.048068,43.927
2.053163,43.924
2.058258,43.922
2.063352,43.92
2.068447,43.918
2.073542,43.917
2.078636,43.914
2.083731,43.912
2.088826,43.911
2.09392,43.909
2.099015,43.909
2.10411,43.907
2.109204,43.904
2.114299,43.902
2.119394,43.9
2.124489,43.897
2.129583,43.895
2.134678,43.893
2.139773,43.891
2.144867,43.891
2.149962,43.889
2.155057,43.888
2.160151,43.887
2.165246,43.885
2.170341,43.884
2.175436,43.882
2.18053,43.881
2.185625,43.879
2.19072,43.878
2.195814,43.878
2.200909,43.877
2.206004,43.876
2.211098,43.875
2.216193,43.874
2.221288,43.872
2.226382,43.87
2.231477,43.868
2.236572,43.866
2.241667,43.864
2.246761,43.862
2.251856,43.86
2.256951,43.859
2.262045,43.856
2.26714,43.853
2.272235,43.851
2.277329,43.849
2.282424,43.847
2.287519,43.847
2.292614,43.846
2.297708,43.844
2.302803,43.842
2.307898,43.84
2.312992,43.837
2.318087,43.834
2.323182,43.83
2.328276,43.828
2.333371,43.826
2.338466,43.823
2.343561,43.821
2.348655,43.819
2.35375,43.818
2.358845,43.817
2.363939,43.815
2.369034,43.813
2.374129,43.81
2.379223,43.808
2.384318,43.808
2.389413,43.807
2.394507,43.806
2.399602,43.804
2.404697,43.802
2.409792,43.8
2.414886,43.798
2.419981,43.797
2.425076,43.796
2.43017,43.795
2.435265,43.793
2.44036,43.791
2.445454,43.79
2.450549,43.789
2.455644,43.788
2.460739,43.785
2.465833,43.784
2.470928,43.781
2.476023,43.778
2.481117,43.775
2.486212,43.772
2.491307,43.77
2.496401,43.767
2.501496,43.765
2.506591,43.762
2.511686,43.76
2.51678,43.758
2.521875,43.757
2.52697,43.755
2.532064,43.753
2.537159,43.751
2.542254,43.749
2.547348,43.748
2.552443,43.747
2.557538,43.745
2.562632,43.744
2.567727,43.742
2.572822,43.74
2.577917,43.739
2.583011,43.737
2.588106,43.736
2.593201,43.735
2.598295,43.734
2.60339,43.733
2.608485,43.731
2.613579,43.73
2.618674,43.728
2.623769,43.726
2.628864,43.725
2.633958,43.722
2.639053,43.721
2.644148,43.718
2.649242,43.716
2.654337,43.715
2.659432,43.713
2.664526,43.713
2.669621,43.712
2.674716,43.71
2.679811,43.707
2.684905,43.705
2.69,43.702
2.695095,43.699
2.700189,43.698
2.705284,43.696
2.710379,43.695
2.715473,43.694
2.720568,43.692
2.725663,43.691
2.730757,43.69
2.735852,43.69
2.740947,43.689
2.746042,43.687
2.751136,43.684
2.756231,43.683
2.761326,43.681
2.76642,43.679
2.771515,43.678
2.77661,43.675
2.781704,43.672
2.786799,43.671
2.791894,43.669
2.796989,43.669
2.802083,43.668
2.807178,43.666
2.812273,43.665
2.817367,43.663
2.822462,43.66
2.827557,43.658
2.832651,43.656
2.837746,43.654
2.842841,43.654
2.847936,43.652
2.85303,43.65
2.858125,43.648
2.86322,43.645
2.868314,43.642
2.873409,43.639
2.878504,43.636
2.883598,43.633
2.888693,43.632
